snapshot_at,project_number,project_title,item_id,content_type,issue_number,title,url,repository,assignees,status
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Sg4c,Issue,21,(LAB01S02 - 2) Implementar validação das RQ01 e RQ02 nos 1.000 repositórios,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/21,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Sg1o,Issue,20,(LAB01S02 - 1) Implementar paginação GraphQL e exportar 1.000 repositórios em CSV,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/20,guilhermeas04/Laboratorio-de-experimentacao-de-software,pedrorodriguesduarte,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2JfUI,Issue,15,(Lab01S01-6) Automatizar a execução da consulta para os 100 repositórios mais populares,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/15,guilhermeas04/Laboratorio-de-experimentacao-de-software,amandabicalh,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2JeO4,Issue,14,(Lab01S01-5) Integrar as extrações em uma única consulta GraphQL,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/14,guilhermeas04/Laboratorio-de-experimentacao-de-software,pedrorodriguesduarte,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2JeE0,Issue,13,(Lab01S01-4) Implementar e validar a extração das métricas das RQ05 e RQ06,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/13,guilhermeas04/Laboratorio-de-experimentacao-de-software,amandabicalh,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2JdmQ,Issue,12,(Lab01S01-3)  Implementar e validar a extração das métricas das RQ03 e RQ04,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/12,guilhermeas04/Laboratorio-de-experimentacao-de-software,pedrorodriguesduarte,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2JdN8,Issue,11,(Lab01S01-2) Implementar e validar a extração das métricas das RQ01 e RQ02,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/11,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg2Jc-w,Issue,10,(Lab01S01-1)  Configurar o repositório e o GitHub Projects,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/10,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg3NKsM,Issue,34,(LAB01S03 - 2) Analisar e visualizar as RQ01 e RQ02,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/34,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
2026-08-26T23:24:22.913266+00:00,3,Kanban,PVTI_lAHOB8VvMc4BgEaBzg3NKy8,Issue,37,(LAB01S03 - 5) Integrar a geração das visualizações de RQ01 a RQ07,https://github.com/guilhermeas04/Laboratorio-de-experimentacao-de-software/issues/37,guilhermeas04/Laboratorio-de-experimentacao-de-software,guilhermeas04,Done
